chr,start,end,name,chrTSS,startTSS,endTSS,TargetGene,ReferenceID,CellType,EffectSize,pValueAdjusted,Significant,PowerAtEffectSize25,PowerAtEffectSize10,PowerAtEffectSize15,PowerAtEffectSize20,PowerAtEffectSize50,distanceToTSS,numTSSEnhGene,numCandidateEnhGene,normalizedDNase_enh,normalizedDNase_prom,numNearbyEnhancers,sumNearbyEnhancers,ubiquitousExpressedGene,3DContact,3DContact_squared,normalizedDNase_enh_squared,ABC.Score
chr19,789048,790207,POLR2E|chr19:789048-790207:.,chr19,1095379.0,1095380.0,POLR2E,2f957f7a,K562,-0.04990968,0.586987046,False,0.9,0.6,0.8,0.9,1.0,306038.0,17,73,4.383032,0.841067,320,4152.49088,1,439.887967,193501.4235,19.21096951,0.000668
chr7,16433530,16434030,TSPAN13|chr7:16473155-16473655:.,chr7,16753535.0,16753536.0,TSPAN13,2f957f7a,K562,0.022070418,0.999918431,False,0.95,0.45,0.8,0.9,1.0,319981.0,5,40,1.957461,0.771097,54,99.053784,0,263.535309,69450.85909,3.831653567,0.001144
chr11,14907781,14907983,PSMA1|chr11:14907781-14907983:.,chr11,14643635.0,14643636.0,PSMA1,ebda246b,K562,-0.006059463,1.0,False,1.0,0.65,0.95,1.0,1.0,387234.5,3,14,4.443958,0.837293,43,53.217445,1,2101.6339,4416865.05,19.74876271,0.016762
chr22,38846894,38847394,POLR2F|chr22:39242899-39243399:.,chr22,37952607.0,37952608.0,POLR2F,2f957f7a,K562,-0.00489083,0.999918431,False,1.0,0.8,0.95,1.0,1.0,893487.0,25,106,6.691636,0.616568,375,863.320125,1,110.573996,12226.60859,44.77799236,0.001214
chr11,65928038,65928538,MALAT1|chr11:65695509-65696009:.,chr11,65497762.0,65497763.0,MALAT1,2f957f7a,K562,0.038280398,0.959806239,False,1.0,0.55,0.8,0.95,1.0,430384.0,28,58,2.075809,0.983258,454,625.763182,0,125.145233,15661.32934,4.308983004,6.2e-05
chr19,48978828,48979328,BCAT2|chr19:49482085-49482585:*,chr19,48811028.0,48811029.0,BCAT2,39b33148,K562,0.00966552,0.930121892,False,1.0,,,,,167946.0,10,40,2.625646,0.716612,536,1390.247588,0,1294.488185,1675699.661,6.894016917,0.001607
chr11,65362343,65362917,BANF1|chr11:65129814-65130388:.,chr11,66002079.0,66002080.0,BANF1,2f957f7a,K562,-0.009418298,0.999918431,False,1.0,0.65,0.8,0.85,1.0,639458.0,35,100,2.133752,0.893521,940,2429.90282,1,286.74142,82220.64194,4.552897598,0.000337
chr14,22560754,22561361,HOMEZ|chr14:23029654-23030261:.,chr14,23299446.0,23299447.0,HOMEZ,2f957f7a,K562,-0.006174602,0.999918431,False,1.0,0.55,0.8,1.0,1.0,725014.0,25,90,4.017232,0.883383,276,1017.204532,1,199.769468,39907.84035,16.13815294,0.00047
chr12,54261781,54262321,ITGA5|chr12:54655565-54656105:*,chr12,54419459.0,54419460.0,ITGA5,39b33148,K562,0.021139191,0.991842184,False,0.999997627,,,,,157272.0,9,40,1.536336,0.55676,525,2868.46315,0,657.138576,431831.1081,2.360328305,0.000744
chr11,65903079,65903579,SSSCA1|chr11:65670550-65671050:.,chr11,65570430.0,65570431.0,SSSCA1,2f957f7a,K562,-0.005357213,0.999918431,False,0.9,0.3,0.8,0.9,1.0,332874.0,22,38,4.205269,0.965088,689,4981.664991,1,434.466203,188760.8815,17.68428736,0.000619
chr19,12867151,12867931,DNASE2|chr19:12977965-12978745:*,chr19,12881467.0,12881468.0,DNASE2,39b33148,K562,-0.00610242,0.940707498,False,1.0,,,,,13949.5,1,4,8.144708,0.793211,457,853.313077,0,2371.562051,5624306.562,66.33626841,0.008546
chr1,4126791,4127291,SMIM1|chr1:4186851-4187351:.,chr1,3772788.0,3772789.0,SMIM1,2f957f7a,K562,0.023383787,0.992197132,False,0.95,0.55,0.8,0.9,1.0,354245.0,7,37,0.899572,0.756605,0,0.0,0,65.773519,4326.155802,0.809229783,3.4e-05
chr17,55742922,55743519,COX11|chr17:53820283-53820880:.,chr17,54968784.0,54968785.0,COX11,2f957f7a,K562,-0.018512423,0.909164474,False,1.0,0.5,0.8,0.95,1.0,774488.0,5,59,2.685397,0.78888,116,1184.582778,1,334.828452,112110.0923,7.211357048,0.001807
chr1,115179399,115179899,SIKE1|chr1:115722020-115722520:.,chr1,114780684.0,114780685.0,SIKE1,2f957f7a,K562,-0.027748645,0.819234163,False,1.0,0.75,0.9,0.9,1.0,398960.0,4,11,7.242088,0.899594,0,0.0,1,177.102253,31365.20802,52.4478386,0.001527
chrX,48547317,48547817,HDAC6|chrX:48405705-48406205:*,chrX,48801377.0,48801378.0,HDAC6,39b33148,K562,0.073658377,0.729082519,False,0.986451801,,,,,254536.0,7,35,8.395841,0.999613,0,0.0,1,249.826874,62413.46697,70.4901461,0.000748
chr5,133930196,133931107,HSPA4|chr5:133265887-133266798:.,chr5,133051962.0,133051963.0,HSPA4,2f957f7a,K562,-0.027967416,0.999918431,False,0.95,0.7,0.95,0.95,1.0,878384.5,3,45,6.248934,0.898553,69,1096.709736,1,271.205985,73552.6863,39.04917614,0.001819
chr12,48600923,48601423,TUBA1B|chr12:48994706-48995206:.,chr12,49131396.0,49131397.0,TUBA1B,2f957f7a,K562,-0.012380993,0.999918431,False,0.95,0.35,0.85,0.85,1.0,530347.0,20,45,2.442875,0.755541,0,0.0,1,35.318695,1247.410217,5.967638266,5e-05
chr19,12983511,12984011,CALR|chr19:13094325-13094825:*,chr19,12938578.0,12938579.0,CALR,39b33148,K562,0.05879561,0.411668167,False,0.999995873,,,,,45146.0,4,5,2.075809,0.97208,224,1664.32784,1,634.470866,402553.2798,4.308983004,0.000568
chr12,54018561,54019101,NFE2|chr12:54412345-54412885:*,chr12,54301120.0,54301121.0,NFE2,39b33148,K562,0.0633626,0.646591717,False,0.999999519,,,,,282588.5,11,40,20.100043,0.78888,181,110.548465,0,405.556429,164476.0171,404.0117286,0.002499
chrX,48941708,48942244,PLP2|chrX:48798965-48799505:*,chrX,49171926.0,49171927.0,PLP2,39b33148,K562,-0.0362211,0.398107228,False,1.0,,,,,229885.0,10,32,18.953053,0.526977,316,4915.38079,0,276.520089,76463.35962,359.218218,0.00357
chr5,85823725,85824225,COX7C|chr5:85119543-85120043:.,chr5,86617904.0,86617905.0,COX7C,2f957f7a,K562,0.018212417,0.887852377,False,1.0,0.45,0.85,0.95,1.0,793940.0,2,12,2.133752,0.75767,0,0.0,1,154.821529,23969.70584,4.552897598,0.000878
chr12,119901975,119902475,POP5|chr12:120339779-120340279:.,chr12,120581397.0,120581398.0,POP5,2f957f7a,K562,-0.055021626,0.692832325,False,1.0,0.5,0.85,0.95,1.0,679170.0,18,67,3.775826,0.87869,0,0.0,1,58.86332,3464.890441,14.25686198,0.000197
chr1,225928390,225928890,LBR|chr1:226116090-226116590:.,chr1,225428924.0,225428925.0,LBR,2f957f7a,K562,-0.034857789,0.952470431,False,1.0,0.55,0.95,0.95,1.0,500505.0,7,45,24.812405,0.960805,140,2031.57843,0,968.680609,938342.1223,615.6554419,0.01627
chr12,54159081,54159601,NFE2|chr12:54552865-54553385:*,chr12,54301120.0,54301121.0,NFE2,39b33148,K562,0.04266506,0.855257855,False,0.998782236,,,,,141689.0,5,34,5.071901,0.78888,176,729.456112,0,264.836361,70138.29811,25.72417975,0.000412
chr20,48853877,48854377,CSE1L|chr20:47470414-47470914:.,chr20,49046246.0,49046247.0,CSE1L,2f957f7a,K562,-0.015229892,0.999918431,False,0.95,0.7,0.9,1.0,1.0,192134.0,3,19,7.137067,0.837971,80,142.17144,1,277.839697,77194.89723,50.93772536,0.002232
chr3,129626622,129627122,CNBP|chr3:129345465-129345965:*,chr3,129183921.0,129183922.0,CNBP,39b33148,K562,0.00545649,0.999866357,False,1.0,,,,,442869.0,12,58,6.521952,0.698756,183,203.174347,1,250.619371,62810.06912,42.53585789,0.002218
chr3,43770607,43771107,HIGD1A|chr3:43812099-43812599:.,chr3,42804530.0,42804531.0,HIGD1A,2f957f7a,K562,-0.045449935,0.955905753,False,1.0,0.8,0.95,1.0,1.0,966331.0,12,92,9.198985,0.80255,190,3350.78851,0,200.785281,40314.72907,84.62132503,0.002011
chr6,44079092,44079592,DNPH1|chr6:44046829-44047329:.,chr6,43229483.0,43229484.0,DNPH1,2f957f7a,K562,-0.001675597,0.999918431,False,0.9,0.6,0.8,0.85,1.0,849853.0,21,169,5.966147,0.576502,168,1661.98368,0,169.853582,28850.23932,35.59491003,0.000985
chr11,62041876,62042808,TMEM258|chr11:61809348-61810280:.,chr11,61792801.0,61792802.0,TMEM258,2f957f7a,K562,0.008283016,0.999918431,False,1.0,0.55,1.0,1.0,1.0,249554.0,8,42,8.000395,0.766234,0,0.0,0,722.357802,521800.7941,64.00632016,0.00439
chrX,49139690,49140190,PQBP1|chrX:48996025-48996525:*,chrX,48897912.0,48897913.0,PQBP1,39b33148,K562,0.05211876,0.873048558,False,0.890465447,,,,,241979.0,12,26,1.420022,0.989572,0,0.0,1,253.45147,64237.64765,2.01646248,0.000184
chr12,6284953,6285453,MRPL51|chr12:6394119-6394619:.,chr12,6493840.0,6493841.0,MRPL51,2f957f7a,K562,0.025220906,0.7989437,False,0.95,0.7,0.85,0.9,1.0,208140.0,9,23,2.318416,0.678651,168,144.857748,1,467.370344,218435.0385,5.375052749,0.001076
chr22,40651323,40652405,XRCC6|chr22:41047327-41048409:.,chr22,41621119.0,41621120.0,XRCC6,2f957f7a,K562,-0.024356554,0.558406446,False,1.0,0.6,0.85,0.95,1.0,969162.0,22,64,19.114983,0.827083,133,429.59399,0,173.553526,30120.82639,365.3825751,0.003593
chr7,98418800,98419300,PDAP1|chr7:98048112-98048612:.,chr7,99408828.0,99408829.0,PDAP1,2f957f7a,K562,-0.049164313,0.710967258,False,1.0,0.85,0.9,1.0,1.0,989610.0,10,87,5.194579,0.845301,226,689.519785,1,111.833901,12506.82141,26.98365099,0.000474
chr12,53421211,53422003,PFDN5|chr12:53814995-53815787:.,chr12,53295291.0,53295292.0,PFDN5,2f957f7a,K562,0.038687001,0.796339636,False,0.95,0.65,0.8,0.85,1.0,126273.0,5,15,5.135197,0.706111,576,2491.235904,0,914.830721,836915.2481,26.37024823,0.003044
chr1,28352119,28352734,RCC1|chr1:28678630-28679245:.,chr1,28505943.0,28505944.0,RCC1,2f957f7a,K562,0.009587652,0.999918431,False,1.0,0.4,0.8,0.9,1.0,165774.0,3,27,1.420022,0.842084,298,906.561445,0,755.359572,570568.083,2.01646248,0.000651
chr6,37038218,37039096,PPIL1|chr6:37005994-37006872:.,chr6,36875023.0,36875024.0,PPIL1,2f957f7a,K562,-0.027934316,0.869663193,False,0.9,0.4,0.8,0.9,1.0,163831.0,5,28,6.421532,0.858874,378,626.810688,1,701.639562,492298.075,41.23607323,0.003524
chr22,39988487,39988987,APOBEC3C|chr22:40384491-40384991:.,chr22,39014083.0,39014084.0,APOBEC3C,2f957f7a,K562,-0.024281159,0.999918431,False,1.0,0.4,0.85,0.95,1.0,974471.0,19,171,3.046638,0.651505,134,293.873792,0,83.979941,7052.63049,9.282003103,0.000395
chrX,49924715,49925375,GATA1|chrX:49689325-49689985:*,chrX,48786554.0,48786555.0,GATA1,39b33148,K562,-0.02161383,0.966121062,False,1.0,,,,,1138464.0,42,94,2.017494,0.732846,243,1402.068528,0,89.135261,7945.094754,4.07028204,0.000135
chr8,100754230,100754394,YWHAZ|chr8:100754230-100754394:.,chr8,100953388.0,100953389.0,YWHAZ,ebda246b,K562,0.015460949,1.0,False,1.0,0.7,0.9,0.95,1.0,197003.0,1,26,0.665236,0.662634,0,0.0,1,243.761642,59419.73811,0.442538936,9.7e-05
chr3,130093502,130094562,CNBP|chr3:129812345-129813405:*,chr3,129183921.0,129183922.0,CNBP,39b33148,K562,-0.03947672,0.9870619,False,1.0,,,,,910287.0,16,85,0.665236,0.698756,0,0.0,1,88.062456,7754.996157,0.442538936,8e-05
chr3,23739248,23739965,RPL15|chr3:23780739-23781456:.,chr3,23916545.0,23916546.0,RPL15,2f957f7a,K562,-0.002579433,0.999918431,False,1.0,0.6,0.8,0.95,1.0,177231.5,4,21,1.65806,0.898093,21,12.412806,1,566.939644,321420.5599,2.749162964,0.001221
chr11,46597562,46598062,CELF1|chr11:46619112-46619612:.,chr11,47565568.0,47565569.0,CELF1,2f957f7a,K562,-0.011762592,0.77728083,False,1.0,0.55,0.8,0.95,1.0,891209.0,22,79,8.351981,0.347939,55,330.293205,1,171.925192,29558.27164,69.75558662,0.003323
chr17,78301063,78301563,BIRC5|chr17:76297144-76297644:.,chr17,78214186.0,78214187.0,BIRC5,2f957f7a,K562,-0.02100802,0.999918431,False,1.0,0.6,0.8,0.95,1.0,87086.0,3,18,1.897465,0.585479,176,145.1868,0,550.027806,302530.5874,3.600373426,0.001237
chr19,48844388,48844908,BAX|chr19:49347645-49348165:*,chr19,48954815.0,48954816.0,BAX,39b33148,K562,0.000436,0.999485781,False,1.0,,,,,110246.0,7,26,1.718913,0.903803,267,845.571645,1,1132.58674,1282752.724,2.954661902,0.000851
chr19,48774388,48774888,NUCB1|chr19:49277645-49278145:*,chr19,48900050.0,48900051.0,NUCB1,39b33148,K562,0.014076536,0.941740494,False,0.999999753,,,,,125404.0,6,33,1.049332,0.966902,269,365.894607,0,655.741832,429997.3502,1.101097646,0.000277
chr3,128548662,128549682,RPN1|chr3:128267505-128268525:*,chr3,128681074.0,128681075.0,RPN1,39b33148,K562,-0.01472356,0.946246071,False,1.0,,,,,101706.0,2,15,19.114983,0.604592,112,811.445824,1,385.440372,148564.2804,365.3825751,0.013493
chr7,75740887,75741989,HSPB1|chr7:75370205-75371307:.,chr7,76302544.0,76302545.0,HSPB1,2f957f7a,K562,0.029548759,0.999918431,False,0.9,0.5,0.8,0.9,1.0,561398.0,10,94,5.743237,0.77521,88,999.475268,0,231.697986,53683.95672,32.98477124,0.000789
chr19,12885011,12885511,WDR83OS|chr19:12995825-12996325:*,chr19,12669488.0,12669489.0,WDR83OS,39b33148,K562,-0.08247878,0.38962001,False,0.999990664,,,,,215826.5,15,44,36.358789,0.60331,912,8470.490016,1,489.344266,239457.8107,1321.961538,0.012539
chrX,47664700,47665200,UBA1|chrX:47524099-47524599:.,chrX,47190861.0,47190862.0,UBA1,2f957f7a,K562,-0.00194136,0.999918431,False,0.9,0.65,0.8,0.9,1.0,471155.0,14,35,5.582752,0.862697,72,1521.912744,1,279.658117,78208.6624,31.16711989,0.001718
chr1,28112667,28113483,RCC1|chr1:28439178-28439994:.,chr1,28505943.0,28505944.0,RCC1,2f957f7a,K562,0.003669633,0.999918431,False,1.0,0.65,0.85,1.0,1.0,405163.5,8,69,7.945923,0.842084,148,218.7366,0,237.077733,56205.85148,63.13769232,0.001144
chr11,113554592,113555675,REXO2|chr11:113425314-113426397:.,chr11,114439386.0,114439387.0,REXO2,2f957f7a,K562,-0.075056954,0.267717967,False,1.0,0.6,0.9,0.95,1.0,884044.5,12,77,6.47107,0.812446,57,74.050638,1,76.911049,5915.309458,41.87474694,0.000893
chr19,13104331,13104911,KLF1|chr19:13215145-13215725:*,chr19,12887198.0,12887199.0,KLF1,39b33148,K562,0.00508088,0.835410978,False,1.0,,,,,217463.0,10,32,5.629386,0.743492,675,8126.363025,0,555.656182,308753.7926,31.68998674,0.001104
chr19,12793351,12793851,C19orf43|chr19:12904165-12904665:*,chr19,,,C19orf43,39b33148,K562,-0.02556573,0.694611332,False,1.0,,,,,58844.0,5,17,11.04052,0.816631,1131,12252.04359,0,1615.659202,2610354.657,121.8930819,0.009368
chr1,225928390,225928890,PARP1|chr1:226116090-226116590:.,chr1,226408078.0,226408079.0,PARP1,2f957f7a,K562,-0.018788373,0.971137896,False,1.0,0.6,0.9,0.9,1.0,479482.0,8,63,24.812405,0.862697,140,2031.57843,1,171.896051,29548.25235,615.6554419,0.004616
chr19,48896088,48896648,NUCB1|chr19:49399345-49399905:*,chr19,48900050.0,48900051.0,NUCB1,39b33148,K562,-0.031496831,0.094102827,False,1.0,,,,,3720.0,2,1,4.08202,0.966902,807,10292.38869,0,7659.676298,58670640.99,16.66288728,0.012607
chr1,204692614,204693484,SNRPE|chr1:204661742-204662612:.,chr1,203861603.0,203861604.0,SNRPE,2f957f7a,K562,-0.001984162,0.999918431,False,1.0,0.65,0.85,0.85,1.0,831329.5,14,80,6.421532,0.927707,93,148.504074,1,101.479127,10298.01322,41.23607323,0.00073
chr19,48780421,48781372,RPL13A|chr19:49283678-49284629:.,chr19,49487554.0,49487555.0,RPL13A,2f957f7a,K562,0.020347627,0.999918431,False,0.9,0.55,0.8,0.9,1.0,706481.0,42,116,8.301755,0.969007,805,1611.490803,1,149.834907,22450.49936,68.91913608,0.000466
chr2,126644590,126645090,GYPC|chr2:127402166-127402666:.,chr2,126655933.0,126655934.0,GYPC,2f957f7a,K562,-0.007633606,0.999918431,False,1.0,0.65,0.8,1.0,1.0,11086.0,1,4,6.307662,0.559324,58,596.075686,0,2245.147131,5040685.64,39.78659991,0.01525
chr2,85951546,85952046,RNF181|chr2:86178669-86179169:.,chr2,85595725.0,85595726.0,RNF181,2f957f7a,K562,-0.00275711,0.999918431,False,1.0,0.65,0.85,0.95,1.0,356103.0,10,53,1.47795,0.813389,70,149.733395,1,254.476129,64758.10023,2.184336203,0.000312
chr17,28028967,28029467,RPL23A|chr17:26355993-26356493:.,chr17,28719393.0,28719394.0,RPL23A,2f957f7a,K562,0.064216536,0.646219291,False,0.95,0.55,0.8,0.95,1.0,690745.0,27,65,3.598415,0.949458,70,727.72805,1,64.040185,4101.145295,12.94859051,0.000104
chr19,49149168,49150108,BCAT2|chr19:49652425-49653365:*,chr19,48811028.0,48811029.0,BCAT2,39b33148,K562,-0.0071766,0.930121892,False,1.0,,,,,338341.0,26,66,20.9307945,0.716612,1330,16630.92036,0,351.307818,123930.6572,440.0274419,0.006925
chr7,99806671,99807583,COPS6|chr7:99404294-99405206:.,chr7,100088954.0,100088955.0,COPS6,2f957f7a,K562,-0.035895949,0.968847825,False,1.0,0.65,0.8,0.95,1.0,281705.5,10,32,3.658534,0.615504,109,121.116658,0,123.801853,15326.89881,13.38487103,0.00025
chr10,71859971,71860878,ANAPC16|chr10:73619728-73620635:.,chr10,72216000.0,72216001.0,ANAPC16,2f957f7a,K562,-0.017121839,0.999918431,False,0.9,0.6,0.8,0.9,1.0,355392.0,3,62,20.835975,0.931699,166,653.792411,1,418.087103,174796.8257,434.1378542,0.005442
chr21,43860698,43861198,RRP1|chr21:45280579-45281079:.,chr21,43789513.0,43789514.0,RRP1,2f957f7a,K562,-0.009045637,0.999918431,False,1.0,0.5,0.85,1.0,1.0,71413.0,2,18,8.000395,0.842906,216,772.913592,0,879.867145,774166.1929,64.00632016,0.008227
chr8,97762799,97763104,RPL30|chr8:97762799-97763104:.,chr8,98046469.0,98046470.0,RPL30,ebda246b,K562,-0.023619312,1.0,False,1.0,0.65,0.9,1.0,1.0,282616.0,3,31,1.420022,0.69399,141,194.622629,1,878.889685,772447.0784,2.01646248,0.002498
chr11,8638258,8638671,RPL27A|chr11:8638258-8638671:.,chr11,8682411.0,8682412.0,RPL27A,ebda246b,K562,0.018867275,1.0,False,1.0,0.8,0.95,1.0,1.0,43971.0,2,1,1.111162,0.762291,0,0.0,0,760.670791,578620.0523,1.23468099,0.000985
chr2,96396569,96397069,CIAO1|chr2:97062307-97062807:.,chr2,96266132.0,96266133.0,CIAO1,2f957f7a,K562,-0.003208229,0.999918431,False,0.9,0.45,0.8,0.85,1.0,130648.0,5,16,1.360203,0.8491,0,0.0,1,574.886873,330494.9167,1.850152201,0.000996
chr7,101813922,101814422,ZNHIT1|chr7:101457202-101457702:.,chr7,101217668.0,101217669.0,ZNHIT1,2f957f7a,K562,0.018558046,0.992763336,False,0.95,0.6,0.85,0.95,1.0,596579.0,9,71,6.072188,0.962886,444,1675.852581,1,115.270428,13287.27157,36.87146711,0.000412
chr9,114551863,114552363,ATP6V1G1|chr9:117314143-117314643:.,chr9,114587746.0,114587747.0,ATP6V1G1,2f957f7a,K562,-0.031770351,0.997459948,False,1.0,0.65,0.8,0.9,1.0,35607.0,1,5,5.794764,0.898553,39,20.582601,0,1542.726142,2380003.949,33.57928982,0.015471
chr7,73774744,73775401,BAZ1B|chr7:73189074-73189731:.,chr7,73522277.0,73522278.0,BAZ1B,2f957f7a,K562,-0.021783147,0.999918431,False,1.0,0.8,1.0,1.0,1.0,252845.0,11,32,2.56656,0.988943,90,57.420045,1,213.675658,45657.28682,6.587230234,0.00036
chr1,202076797,202077297,ADIPOR1|chr1:202045925-202046425:.,chr1,202958571.0,202958572.0,ADIPOR1,2f957f7a,K562,-0.012732218,0.999918431,False,1.0,0.55,0.8,0.9,1.0,881361.0,15,79,8.501011,0.738556,174,626.727294,0,107.215744,11495.21576,72.26718802,0.000837
chrX,49230403,49231363,PLP2|chrX:49086865-49087825:*,chrX,49171926.0,49171927.0,PLP2,39b33148,K562,0.00768238,0.796865353,False,1.0,,,,,58888.0,4,10,15.160285,0.526977,243,733.147686,0,592.552591,351118.5731,229.8342413,0.006119
chr19,18414353,18414853,UBA52|chr19:18525163-18525663:.,chr19,18571730.0,18571731.0,UBA52,2f957f7a,K562,-0.000725,0.999918431,False,0.95,0.8,0.8,0.95,1.0,157185.0,6,29,10.005902,0.890182,988,12408.42194,0,467.812031,218848.0963,100.1180748,0.002683
chr3,129612982,129613482,H1FX|chr3:129331825-129332325:*,chr3,129316276.0,129316277.0,H1FX,39b33148,K562,-0.031150561,0.810288669,False,1.0,,,,,297088.0,9,40,0.979523,0.554365,122,367.863672,1,390.371008,152389.5239,0.959465308,0.000556
chr19,48867028,48867548,BCAT2|chr19:49370285-49370805:*,chr19,48811028.0,48811029.0,BCAT2,39b33148,K562,0.01141095,0.930121892,False,1.0,,,,,56229.0,2,14,4.144637,0.716612,536,5679.34076,0,1424.544126,2029325.967,17.17801586,0.002792
chr8,98755534,98755887,RPL30|chr8:98755534-98755887:.,chr8,98046469.0,98046470.0,RPL30,ebda246b,K562,-0.017597689,1.0,False,1.0,0.65,0.8,0.95,1.0,710196.0,6,43,2.193088,0.69399,0,0.0,1,110.975244,12315.50478,4.809634976,0.000487
chr19,12983511,12984011,JUNB|chr19:13094325-13094825:*,chr19,12791496.0,12791497.0,JUNB,39b33148,K562,0.1138807,0.25282042,False,0.983072609,,,,,192250.0,14,32,2.075809,0.862697,224,1664.32784,0,257.782228,66451.67707,4.308983004,0.00017
chr19,1897449,1897949,OAZ1|chr19:1897448-1897948:.,chr19,2269509.0,2269510.0,OAZ1,2f957f7a,K562,0.005965082,0.999918431,False,1.0,0.65,0.8,0.85,1.0,371770.0,15,43,22.576674,0.809373,0,0.0,0,575.892404,331652.061,509.7062089,0.006198
chr1,234583655,234584155,IRF2BP2|chr1:234719401-234719901:.,chr1,234609524.0,234609525.0,IRF2BP2,2f957f7a,K562,-0.01488263,0.999918431,False,1.0,0.5,0.8,0.95,1.0,25434.0,1,9,5.251371,0.516331,88,111.372096,0,1377.79835,1898328.293,27.57689738,0.00319
chr11,816449,816652,BET1L|chr11:816449-816652:.,chr11,207428.0,207429.0,BET1L,ebda246b,K562,-0.004525965,1.0,False,0.95,0.65,0.8,0.95,1.0,609130.0,38,85,1.836814,0.918828,196,1061.017678,1,402.859415,162295.7083,3.373885671,0.000446
chr17,75858668,75859168,ATP5H|chr17:73854749-73855249:.,chr17,75046984.0,75046985.0,ATP5H,2f957f7a,K562,-0.001154995,0.999918431,False,1.0,0.75,0.85,1.0,1.0,811921.0,29,113,9.49721,0.834825,354,5749.512712,0,177.638291,31555.36243,90.19699778,0.0013
chr3,129599482,129600022,RAB7A|chr3:129318325-129318865:*,chr3,128726122.0,128726123.0,RAB7A,39b33148,K562,-0.06836893,0.819906152,False,0.999514706,,,,,873608.0,20,93,4.08202,0.768049,183,524.300124,0,122.6884,15052.44349,16.66288728,0.000801
chr1,38527597,38528097,NDUFS5|chr1:38993269-38993769:.,chr1,39026318.0,39026319.0,NDUFS5,2f957f7a,K562,-0.043477348,0.849778352,False,1.0,0.8,0.95,1.0,1.0,498592.0,8,42,5.966147,0.769985,327,1262.85002,0,141.94424,20148.16727,35.59491003,0.000982
chrX,48592097,48592597,GATA1|chrX:48450485-48450985:*,chrX,48786554.0,48786555.0,GATA1,39b33148,K562,-0.03406155,0.966121062,False,1.0,,,,,194700.0,5,25,3.839598,0.732846,160,247.71832,0,205.023128,42034.48301,14.7425128,0.000591
chr1,212429837,212431414,NSL1|chr1:212603179-212604756:.,chr1,212791781.0,212791782.0,NSL1,2f957f7a,K562,-0.037052528,0.970124166,False,0.95,0.5,0.8,0.85,1.0,360625.0,7,46,3.106831,0.810341,43,354.486066,0,676.143297,457169.7581,9.652398863,0.002062
chr1,202164452,202164952,ADIPOR1|chr1:202133580-202134080:.,chr1,202958571.0,202958572.0,ADIPOR1,2f957f7a,K562,0.020292433,0.999918431,False,0.9,0.5,0.8,0.85,1.0,793683.0,12,65,8.501011,0.738556,435,4335.53277,0,323.316095,104533.2973,72.26718802,0.002524
chr14,67416008,67416508,EIF2S1|chr14:67882725-67883225:.,chr14,67359997.0,67359998.0,EIF2S1,2f957f7a,K562,-0.039545452,0.926463698,False,1.0,0.9,0.85,1.0,1.0,55954.0,2,6,4.263777,0.905207,180,681.110685,0,701.113076,491559.5453,18.17979431,0.004328
chr19,12867151,12867931,PRDX2|chr19:12977965-12978745:*,chr19,12801858.0,12801859.0,PRDX2,39b33148,K562,-0.004710272,0.796380586,False,1.0,,,,,65661.5,4,13,8.144708,0.599511,457,853.313077,0,973.533766,947767.9935,66.33626841,0.004401
chr19,13537471,13537971,DHPS|chr19:13648285-13648785:*,chr19,12681901.0,12681902.0,DHPS,39b33148,K562,0.047987046,0.676859276,False,0.999799073,,,,,855814.0,29,125,2.017494,0.895069,228,296.202552,1,51.000852,2601.086905,4.07028204,6e-05
chr4,55666008,55666737,SRP72|chr4:56532175-56532904:.,chr4,56466915.0,56466916.0,SRP72,2f957f7a,K562,-0.015805199,0.941887711,False,0.95,0.7,0.85,0.95,1.0,800995.0,8,49,0.824925,0.740613,87,98.737663,1,79.723711,6355.870096,0.680501256,9.8e-05
chrX,49876682,49877202,HDAC6|chrX:49641285-49641805:*,chrX,48801377.0,48801378.0,HDAC6,39b33148,K562,-0.030910901,0.944354337,False,0.999957666,,,,,1074947.0,38,83,2.625646,0.999613,81,1396.446561,1,260.145861,67675.869,6.894016917,0.000244
chrX,50180501,50181003,HDAC6|chrX:49945145-49945645:*,chrX,48801377.0,48801378.0,HDAC6,39b33148,K562,-0.044507316,0.702541997,False,0.999999996,,,,,1378751.0,41,99,3.23003,0.999613,86,361.653134,1,40.477797,1638.45205,10.4330938,4.7e-05
chr17,50817183,50817683,MRPL27|chr17:48894544-48895044:.,chr17,50373213.0,50373214.0,MRPL27,2f957f7a,K562,-0.000541,0.992449412,False,1.0,0.7,0.9,0.9,1.0,444220.0,16,55,1.65806,0.727523,0,0.0,1,197.038474,38824.16024,2.749162964,0.000456
chr11,4539475,4539975,HBE1|chr11:4560705-4561205:*,chr11,5505651.0,5505652.0,HBE1,ac8d234e,K562,-0.02062667,0.600189196,False,0.99999996,,,,,730345.0,35,37,1.111162,0.582261,0,0.0,0,169.791547,28829.16943,1.23468099,0.000213
chr1,234867136,234867636,IRF2BP2|chr1:235002883-235003383:.,chr1,234609524.0,234609525.0,IRF2BP2,2f957f7a,K562,-0.018303662,0.824341002,False,0.95,0.5,0.8,0.9,1.0,257884.0,4,53,12.591403,0.516331,126,1955.657928,0,1180.126111,1392697.638,158.5434295,0.006552
